call_id,call_type_gpt
J17_S002352,아웃바운드
J18_S018926,인바운드
J19_S012260,인바운드
J17_S005150,인바운드
J19_S001928,인바운드
J18_S001183,인바운드
J19_S009773,인바운드
J16_S002087,인바운드
J19_S005456,인바운드
J19_S021209,인바운드
J19_S031384,인바운드
J19_S034454,아웃바운드
J19_S034891,인바운드
J18_S005751,인바운드
J16_S001991,인바운드
J18_S021123,인바운드
J19_S004604,인바운드
J18_S002280,인바운드
J18_S020863,인바운드
J18_S009273,인바운드
J19_S015682,인바운드
J18_S011728,인바운드
J19_S008490,인바운드
J19_S027046,인바운드
J17_S001094,인바운드
J18_S019514,인바운드
J19_S028597,인바운드
J19_S011559,인바운드
J19_S018545,인바운드
J19_S013545,인바운드
J19_S034774,인바운드
J19_S033800,인바운드
J18_S016602,인바운드
J18_S007688,인바운드
J17_S004339,인바운드
J17_S002232,인바운드
J19_S035169,인바운드
J19_S010433,인바운드
J19_S013322,인바운드
J18_S009603,아웃바운드
J18_S012009,인바운드
J17_S001087,인바운드
J18_S006502,인바운드
J18_S013732,아웃바운드
J19_S037352,인바운드
J18_S015223,인바운드
J17_S003937,인바운드
J19_S038010,인바운드
J16_S000653,인바운드
J19_S000217,아웃바운드
J19_S016961,인바운드
J18_S015765,인바운드
J19_S023396,인바운드
J18_S005854,인바운드
J18_S022488,인바운드
J16_S005876,인바운드
J19_S006380,인바운드
J19_S001123,인바운드
J17_S005911,인바운드
J19_S019307,인바운드
J19_S026458,인바운드
J18_S019769,인바운드
J19_S031421,인바운드
J18_S018870,인바운드
J18_S001998,인바운드
J18_S014916,인바운드
J18_S019232,인바운드
J19_S027871,인바운드
J18_S012294,인바운드
J18_S000803,인바운드
J16_S006822,인바운드
J19_S006118,인바운드
J18_S011047,인바운드
J18_S019321,아웃바운드
J18_S005705,인바운드
J19_S032089,인바운드
J19_S007302,아웃바운드
J19_S009142,인바운드
J19_S008283,인바운드
J19_S033346,인바운드
