call_id,gpt55_label,gpt41mini_label
J16_S005035,서비스이용,서비스이용
J17_S001106,서비스이용,서비스이용
J18_S000761,환불요청,환불요청
J19_S019355,주문취소,주문취소
J19_S004684,주문취소,환불요청
J19_S023396,서비스이용,서비스이용
J17_S005446,서비스이용,서비스이용
J18_S021511,환불요청,환불요청
J19_S012400,구매진행,구매진행
J19_S034774,주문취소,주문취소
J19_S013458,환불요청,환불요청
J19_S001487,환불요청,환불요청
J18_S018870,배송확인,배송확인
J18_S008762,배송확인,배송확인
J18_S022745,배송확인,배송확인
J18_S018926,불만제기,배송확인
J18_S011728,환불요청,환불요청
J19_S011300,서비스이용,서비스이용
J19_S033800,구매진행,배송확인
J19_S038010,주문취소,주문취소
J19_S003472,구매진행,구매진행
J16_S001414,서비스이용,서비스이용
J16_S000485,서비스이용,배송확인
J18_S003579,배송확인,배송확인
J18_S013732,교환반품,교환반품
J16_S004144,서비스이용,서비스이용
J19_S007302,주문취소,환불요청
J19_S037136,교환반품,교환반품
J19_S002474,환불요청,환불요청
J17_S003937,서비스이용,서비스이용
J19_S012260,구매진행,환불요청
J19_S031421,교환반품,교환반품
J19_S001618,주문취소,주문취소
J19_S015101,주문취소,주문취소
J19_S000152,환불요청,환불요청
J18_S001998,환불요청,교환반품
J16_S002593,서비스이용,서비스이용
J19_S033425,주문취소,주문취소
J18_S006502,환불요청,환불요청
J19_S027540,주문취소,환불요청
J19_S038327,환불요청,환불요청
J18_S019321,교환반품,교환반품
J18_S019232,교환반품,교환반품
J19_S018427,환불요청,환불요청
J18_S020450,교환반품,교환반품
J19_S021209,주문취소,환불요청
J19_S037035,주문취소,주문취소
J18_S019006,교환반품,교환반품
J19_S025456,주문취소,주문취소
J19_S030261,주문취소,환불요청
J19_S001929,주문취소,주문취소
J16_S006822,서비스이용,서비스이용
J17_S004933,서비스이용,서비스이용
J18_S007900,교환반품,교환반품
J18_S005837,배송확인,배송확인
J18_S016602,배송확인,배송확인
J19_S004604,환불요청,환불요청
J18_S006037,환불요청,환불요청
J16_S002450,서비스이용,서비스이용
J17_S003142,서비스이용,서비스이용
J18_S019514,환불요청,환불요청
J19_S009833,환불요청,환불요청
J19_S008138,주문취소,주문취소
J19_S015667,주문취소,주문취소
J18_S018459,배송확인,배송확인
J17_S001094,서비스이용,서비스이용
