call_id,gpt55_label_v2,gpt41mini_label_v2
J17_S002352,서비스이용,서비스이용
J18_S018926,배송확인,배송확인
J19_S012260,환불요청,환불요청
J17_S005150,서비스이용,서비스이용
J19_S001928,환불요청,환불요청
J18_S001183,서비스이용,환불요청
J19_S009773,주문취소,주문취소
J16_S002087,서비스이용,서비스이용
J19_S005456,구매진행,구매진행
J19_S021209,환불요청,환불요청
J19_S031384,환불요청,환불요청
J19_S034454,환불요청,환불요청
J19_S034891,교환반품,교환반품
J18_S005751,배송확인,배송확인
J16_S001991,서비스이용,서비스이용
J18_S021123,환불요청,환불요청
J19_S004604,환불요청,환불요청
J18_S002280,배송확인,배송확인
J18_S020863,배송확인,배송확인
J18_S009273,배송확인,배송확인
J19_S015682,구매진행,환불요청
J18_S011728,환불요청,환불요청
J19_S008490,환불요청,환불요청
J19_S027046,환불요청,환불요청
J17_S001094,서비스이용,서비스이용
J18_S019514,환불요청,환불요청
J19_S028597,구매진행,구매진행
J19_S011559,환불요청,환불요청
J19_S018545,환불요청,환불요청
J19_S013545,주문취소,주문취소
J19_S034774,주문취소,주문취소
J19_S033800,구매진행,서비스이용
J18_S016602,배송확인,배송확인
J18_S007688,배송확인,배송확인
J17_S004339,서비스이용,서비스이용
J17_S002232,서비스이용,서비스이용
J19_S035169,환불요청,환불요청
J19_S010433,환불요청,환불요청
J19_S013322,주문취소,환불요청
J18_S009603,환불요청,환불요청
J18_S012009,환불요청,환불요청
J17_S001087,서비스이용,서비스이용
J18_S006502,환불요청,환불요청
J18_S013732,교환반품,교환반품
J19_S037352,환불요청,환불요청
J18_S015223,환불요청,환불요청
J17_S003937,서비스이용,서비스이용
J19_S038010,주문취소,주문취소
J16_S000653,서비스이용,서비스이용
J19_S000217,환불요청,환불요청
J19_S016961,환불요청,환불요청
J18_S015765,교환반품,교환반품
J19_S023396,서비스이용,서비스이용
J18_S005854,서비스이용,서비스이용
J18_S022488,교환반품,교환반품
J16_S005876,서비스이용,서비스이용
J19_S006380,환불요청,주문취소
J19_S001123,주문취소,주문취소
J17_S005911,서비스이용,서비스이용
J19_S019307,환불요청,환불요청
J19_S026458,환불요청,환불요청
J18_S019769,배송확인,배송확인
J19_S031421,교환반품,교환반품
J18_S018870,배송확인,배송확인
J18_S001998,환불요청,환불요청
J18_S014916,환불요청,환불요청
J18_S019232,교환반품,교환반품
J19_S027871,환불요청,환불요청
J18_S012294,배송확인,배송확인
J18_S000803,배송확인,배송확인
J16_S006822,서비스이용,서비스이용
J19_S006118,환불요청,환불요청
J18_S011047,환불요청,환불요청
J18_S019321,교환반품,배송확인
J18_S005705,환불요청,환불요청
J19_S032089,환불요청,환불요청
J19_S007302,환불요청,환불요청
J19_S009142,주문취소,주문취소
J19_S008283,환불요청,환불요청
J19_S033346,배송확인,배송확인
