call_id,has_complaint_pass2,label_pass2
J19_S026357,False,환불요청
J19_S008934,False,환불요청
J18_S022532,False,배송확인
J19_S008583,False,환불요청
J18_S011839,False,교환반품
J18_S012785,False,배송확인
J19_S027243,False,환불요청
J19_S011612,False,서비스이용
J19_S002451,False,환불요청
J18_S014851,False,환불요청
J18_S014342,False,배송확인
J18_S022749,False,환불요청
J18_S005196,False,환불요청
J19_S001606,False,환불요청
J18_S006541,False,배송확인
J19_S032173,False,환불요청
J18_S002686,False,환불요청
J18_S008762,False,배송확인
J18_S018107,False,배송확인
J19_S006550,False,환불요청
J19_S024613,False,환불요청
J18_S008152,False,환불요청
J19_S002376,False,환불요청
J19_S015881,False,환불요청
J19_S024164,False,환불요청
J18_S020943,False,환불요청
J18_S000563,False,환불요청
J19_S032971,False,환불요청
J19_S019347,False,환불요청
J19_S004363,False,환불요청
J18_S008618,False,환불요청
J19_S020336,False,환불요청
J19_S036014,False,주문취소
J19_S013603,False,환불요청
J19_S017489,False,환불요청
J18_S002400,False,주문취소
J18_S007477,False,환불요청
J19_S020062,False,환불요청
J19_S010373,False,환불요청
J18_S021712,False,배송확인
J18_S004269,False,환불요청
J19_S037068,True,불만제기
J19_S013149,False,환불요청
J19_S008840,True,불만제기
J19_S018033,False,교환반품
J18_S017481,False,환불요청
J19_S012144,False,환불요청
J19_S016390,False,환불요청
J18_S020293,False,배송확인
J19_S023598,False,환불요청
J18_S011753,False,환불요청
J19_S018873,False,환불요청
J19_S030650,False,환불요청
J18_S010024,False,주문취소
J19_S018808,False,환불요청
J18_S011722,False,환불요청
J18_S010751,False,환불요청
J18_S006725,True,불만제기
J18_S011220,False,교환반품
J18_S001981,False,배송확인
J19_S030066,True,불만제기
J18_S018930,False,배송확인
J18_S001922,False,배송확인
J19_S008859,False,환불요청
J18_S019828,False,배송확인
J19_S005386,False,환불요청
J18_S000435,False,환불요청
J19_S016233,False,환불요청
J18_S003819,False,환불요청
J18_S017363,False,환불요청
J19_S022497,False,환불요청
J18_S022970,False,환불요청
J19_S004378,False,환불요청
J19_S017715,False,환불요청
J19_S009032,False,서비스이용
J19_S037407,False,환불요청
J18_S016773,False,환불요청
J19_S018449,False,주문취소
J19_S000295,False,환불요청
J19_S021340,False,환불요청
J19_S006231,False,환불요청
J18_S012459,False,배송확인
J19_S024098,False,주문취소
J19_S012411,False,환불요청
J19_S015166,False,환불요청
J18_S022392,False,환불요청
J19_S032531,False,배송확인
J18_S011010,False,환불요청
J19_S025983,False,환불요청
J18_S015611,False,배송확인
J16_S002491,False,배송확인
J19_S034316,False,주문취소
J18_S009610,False,주문취소
J19_S013919,False,환불요청
J19_S023271,False,환불요청
J19_S031418,False,주문취소
J18_S006181,False,배송확인
J18_S012520,False,배송확인
J18_S006508,False,교환반품
J19_S013513,False,환불요청
J18_S013160,False,교환반품
J19_S030681,False,환불요청
J19_S026078,False,환불요청
J18_S017329,False,환불요청
J19_S000305,False,환불요청
J18_S019249,False,배송확인
J19_S015695,False,환불요청
J19_S027836,False,주문취소
J19_S023039,False,구매진행
J19_S015643,False,환불요청
J18_S019877,False,환불요청
J19_S027064,False,환불요청
J19_S017331,False,환불요청
J18_S012661,True,불만제기
J18_S002102,False,배송확인
J19_S003591,False,환불요청
J19_S020903,False,환불요청
J18_S013043,False,배송확인
J18_S018524,False,배송확인
J19_S035127,False,환불요청
J18_S016894,False,배송확인
J18_S010443,False,환불요청
J19_S032449,False,환불요청
J19_S020124,False,환불요청
J19_S023802,False,환불요청
J19_S010729,False,환불요청
J18_S022325,False,배송확인
J19_S000666,False,환불요청
J18_S003032,False,배송확인
J19_S030481,False,환불요청
J18_S020715,False,서비스이용
J19_S034841,False,환불요청
J19_S034420,False,환불요청
J19_S000351,True,불만제기
J19_S019270,False,구매진행
J19_S012965,False,환불요청
J19_S002246,False,환불요청
J19_S018010,False,주문취소
J18_S018329,False,배송확인
J18_S017089,False,환불요청
J19_S017097,False,환불요청
J19_S026142,False,환불요청
J19_S001772,False,환불요청
J18_S000394,False,환불요청
J18_S005109,False,환불요청
J19_S002773,False,환불요청
J18_S009506,False,배송확인
J19_S030707,False,환불요청
J19_S038082,False,환불요청
J19_S032961,False,환불요청
J18_S005160,False,배송확인
J19_S032800,True,불만제기
J19_S022216,False,주문취소
J18_S011242,False,환불요청
J19_S012264,False,환불요청
J18_S019532,False,배송확인
J19_S009964,False,환불요청
J19_S031673,False,환불요청
J19_S027655,False,환불요청
J19_S005124,False,환불요청
J19_S029274,False,환불요청
J18_S017740,False,배송확인
J19_S018955,False,환불요청
J17_S004042,False,배송확인
J18_S001649,False,배송확인
J18_S014663,True,불만제기
J19_S009840,False,환불요청
J18_S018344,False,환불요청
J19_S019774,False,서비스이용
J19_S015987,False,환불요청
J19_S020963,False,환불요청
J19_S032053,False,배송확인
J19_S028517,False,환불요청
J19_S036004,False,서비스이용
J19_S023449,False,환불요청
J19_S025032,False,주문취소
J19_S000491,False,환불요청
J19_S024568,False,주문취소
J19_S027716,False,환불요청
J18_S014886,False,배송확인
J19_S034751,False,환불요청
J19_S003627,False,주문취소
J19_S031054,False,환불요청
J19_S011110,False,환불요청
J19_S024323,False,환불요청
J18_S018435,True,불만제기
J19_S014602,False,환불요청
J19_S014121,False,환불요청
J19_S021530,False,환불요청
J19_S000811,False,환불요청
J19_S027563,False,환불요청
J19_S002836,False,환불요청
J19_S022713,False,환불요청
J18_S002241,False,배송확인
J19_S028484,False,환불요청
J19_S026634,False,환불요청
J19_S025953,False,환불요청
J18_S013198,False,환불요청
J19_S036243,False,환불요청
J19_S007632,False,환불요청
