call_id,label
J16_S000274,환불요청
J16_S000345,환불요청
J16_S000809,배송확인
J16_S000853,배송확인
J16_S000863,환불요청
J16_S000897,배송확인
J16_S000915,환불요청
J16_S001183,환불요청
J16_S001576,배송확인
J16_S001584,배송확인
J16_S001619,환불요청
J16_S001622,환불요청
J16_S001856,배송확인
J16_S002323,환불요청
J16_S002491,배송확인
J16_S002583,배송확인
J16_S002623,환불요청
J16_S003724,환불요청
J16_S003875,환불요청
J16_S004080,환불요청
J16_S004108,배송확인
J16_S004392,배송확인
J16_S004492,환불요청
J16_S004872,환불요청
J16_S005149,환불요청
J16_S005263,환불요청
J16_S005293,환불요청
J16_S005450,환불요청
J16_S005599,배송확인
J16_S005678,배송확인
J16_S005771,환불요청
J16_S005789,배송확인
J16_S005792,배송확인
J16_S005898,배송확인
J16_S006017,배송확인
J16_S006082,배송확인
J16_S006166,환불요청
J16_S006272,환불요청
J16_S006598,환불요청
J16_S006703,환불요청
J16_S006922,배송확인
J16_S006949,배송확인
J17_S000067,배송확인
J17_S000149,환불요청
J17_S000177,환불요청
J17_S000201,배송확인
J17_S000235,환불요청
J17_S000244,배송확인
J17_S000260,배송확인
J17_S000263,배송확인
J17_S000334,환불요청
J17_S000403,환불요청
J17_S000470,환불요청
J17_S000584,환불요청
J17_S000635,환불요청
J17_S000786,환불요청
J17_S000872,환불요청
J17_S000920,환불요청
J17_S000927,배송확인
J17_S001116,배송확인
J17_S001278,환불요청
J17_S001279,환불요청
J17_S001375,환불요청
J17_S001384,환불요청
J17_S001447,배송확인
J17_S001463,환불요청
J17_S001533,배송확인
J17_S001568,환불요청
J17_S001663,환불요청
J17_S001917,환불요청
J17_S002013,환불요청
J17_S002169,배송확인
J17_S002177,배송확인
J17_S002240,환불요청
J17_S002247,환불요청
J17_S002291,배송확인
J17_S002310,배송확인
J17_S002327,배송확인
J17_S002330,배송확인
J17_S002356,배송확인
J17_S002633,배송확인
J17_S002669,환불요청
J17_S002730,환불요청
J17_S003029,환불요청
J17_S003041,배송확인
J17_S003071,배송확인
J17_S003135,환불요청
J17_S003166,배송확인
J17_S003170,환불요청
J17_S003184,환불요청
J17_S003350,환불요청
J17_S003394,환불요청
J17_S003402,환불요청
J17_S003437,환불요청
J17_S003609,배송확인
J17_S003691,배송확인
J17_S003845,환불요청
J17_S003868,배송확인
J17_S003886,환불요청
J17_S003891,배송확인
J17_S003892,배송확인
J17_S004042,배송확인
J17_S004139,배송확인
J17_S004229,배송확인
J17_S004277,환불요청
J17_S004318,배송확인
J17_S004402,환불요청
J17_S004561,배송확인
J17_S004593,배송확인
J17_S004653,배송확인
J17_S004754,배송확인
J17_S004796,배송확인
J17_S005125,환불요청
