call_id,gold_actual
J19_S037893,구매진행
J19_S027803,환불요청
J17_S002740,서비스이용
J19_S036550,환불요청
J17_S001443,서비스이용
J17_S001643,서비스이용
J19_S025666,환불요청
J18_S008619,교환반품
J18_S003995,불만제기
J16_S004326,서비스이용
J18_S015318,불만제기
J19_S013482,서비스이용
J17_S005590,서비스이용
J19_S021538,환불요청
J19_S023116,환불요청
J19_S015157,환불요청
J19_S019882,환불요청
J19_S029282,불만제기
J17_S006604,배송확인
J17_S006060,구매진행
J19_S011427,환불요청
J18_S015018,교환반품
J19_S037157,주문취소
J17_S005771,서비스이용
J19_S029152,구매진행
J18_S016495,불만제기
J19_S008945,서비스이용
J19_S033859,환불요청
J19_S028623,환불요청
J18_S001939,불만제기
J18_S004626,환불요청
J18_S017612,환불요청
J19_S015204,환불요청
J18_S014611,환불요청
J16_S004599,서비스이용
J19_S029200,환불요청
J19_S034433,배송확인
J16_S003914,서비스이용
J19_S008867,서비스이용
J18_S020079,환불요청
J18_S007231,불만제기
J19_S028720,구매진행
J19_S023008,환불요청
J19_S033630,환불요청
J18_S021443,배송확인
J18_S015228,환불요청
J18_S005080,환불요청
J19_S020936,환불요청
J18_S021541,불만제기
J18_S007696,배송확인
J18_S014406,배송확인
J17_S002511,불만제기
J18_S003601,배송확인
J19_S034637,불만제기
J19_S001613,환불요청
J18_S023251,교환반품
J16_S000281,서비스이용
J19_S029467,교환반품
J17_S005464,서비스이용
J19_S034246,환불요청
J18_S004411,배송확인
J18_S001342,환불요청
J18_S013492,배송확인
J16_S002565,서비스이용
J19_S014998,주문취소
J19_S012400,구매진행
J19_S027733,환불요청
J18_S007677,배송확인
J18_S010146,불만제기
J18_S002892,배송확인
J18_S019065,배송확인
J19_S006049,환불요청
J16_S000477,서비스이용
J17_S005896,서비스이용
J19_S034384,환불요청
J18_S017096,환불요청
J19_S029558,배송확인
J18_S001267,환불요청
J19_S010223,환불요청
J18_S001787,교환반품
J19_S035815,불만제기
J19_S013590,환불요청
J19_S022924,배송확인
J18_S002003,배송확인
J18_S004485,교환반품
J18_S008930,배송확인
J18_S021367,교환반품
J18_S019515,환불요청
J19_S014188,환불요청
J18_S016231,배송확인
J18_S023327,배송확인
J18_S006995,교환반품
J19_S019566,불만제기
J18_S014409,환불요청
J19_S009446,구매진행
J19_S016111,구매진행
J19_S008678,환불요청
J19_S021249,서비스이용
J18_S003026,배송확인
J19_S037964,주문취소
J19_S022210,환불요청
J18_S016734,환불요청
J19_S017416,환불요청
J16_S004670,서비스이용
J19_S030229,불만제기
J19_S019973,환불요청
J19_S000598,환불요청
J18_S002073,환불요청
J19_S017006,환불요청
J18_S010751,환불요청
J18_S011220,환불요청
J16_S004587,서비스이용
J16_S001823,서비스이용
J18_S012131,교환반품
J19_S036929,환불요청
J19_S028568,환불요청
J19_S025875,서비스이용
J18_S015196,환불요청
J19_S031452,환불요청
J18_S005974,배송확인
J19_S037450,교환반품
J16_S002116,서비스이용
J17_S003004,서비스이용
J18_S011334,환불요청
J19_S037422,환불요청
J18_S011250,배송확인
J18_S020519,환불요청
J19_S031042,환불요청
J16_S000540,서비스이용
J19_S001532,환불요청
J19_S023773,구매진행
J19_S024074,구매진행
J18_S018198,환불요청
J19_S019707,환불요청
J19_S016809,환불요청
J17_S005103,서비스이용
J19_S015505,주문취소
J19_S009358,구매진행
J19_S035061,교환반품
J18_S021469,배송확인
J16_S001155,서비스이용
