window_n,window_version,speaker_group,f0_mean_norm_source,count,metric,f0_std_norm_source,e_mean_db_norm_source,e_std_db_norm_source,r_gold_norm_source,s_top_db30_norm_source
1,all,고객,population_gender,14411,f0_mean,,,,,
1,all,상담사,population_gender,5436,f0_mean,,,,,
1,customer_only,고객,population_gender,19548,f0_mean,,,,,
2,all,고객,population_gender,25194,f0_mean,,,,,
2,all,상담사,population_gender,14372,f0_mean,,,,,
2,customer_only,고객,population_gender,38275,f0_mean,,,,,
3,all,고객,population_gender,33535,f0_mean,,,,,
3,all,상담사,population_gender,25632,f0_mean,,,,,
3,customer_only,고객,population_gender,55700,f0_mean,,,,,
5,all,고객,population_gender,32546,f0_mean,,,,,
5,all,고객,within_speaker,14959,f0_mean,,,,,
5,all,상담사,population_gender,33384,f0_mean,,,,,
5,all,상담사,within_speaker,16760,f0_mean,,,,,
5,customer_only,고객,within_speaker,76605,f0_mean,,,,,
5,customer_only,고객,population_gender,8591,f0_mean,,,,,
1,all,고객,,14411,f0_std,population_gender,,,,
1,all,상담사,,5436,f0_std,population_gender,,,,
1,customer_only,고객,,19548,f0_std,population_gender,,,,
2,all,고객,,25194,f0_std,population_gender,,,,
2,all,상담사,,14372,f0_std,population_gender,,,,
2,customer_only,고객,,38275,f0_std,population_gender,,,,
3,all,고객,,33535,f0_std,population_gender,,,,
3,all,상담사,,25632,f0_std,population_gender,,,,
3,customer_only,고객,,55700,f0_std,population_gender,,,,
5,all,고객,,32546,f0_std,population_gender,,,,
5,all,고객,,14959,f0_std,within_speaker,,,,
5,all,상담사,,33384,f0_std,population_gender,,,,
5,all,상담사,,16760,f0_std,within_speaker,,,,
5,customer_only,고객,,76605,f0_std,within_speaker,,,,
5,customer_only,고객,,8591,f0_std,population_gender,,,,
1,all,고객,,14411,e_mean_db,,population_gender,,,
1,all,상담사,,5436,e_mean_db,,population_gender,,,
1,customer_only,고객,,19548,e_mean_db,,population_gender,,,
2,all,고객,,25194,e_mean_db,,population_gender,,,
2,all,상담사,,14372,e_mean_db,,population_gender,,,
2,customer_only,고객,,38275,e_mean_db,,population_gender,,,
3,all,고객,,33535,e_mean_db,,population_gender,,,
3,all,상담사,,25632,e_mean_db,,population_gender,,,
3,customer_only,고객,,55700,e_mean_db,,population_gender,,,
5,all,고객,,32546,e_mean_db,,population_gender,,,
5,all,고객,,14959,e_mean_db,,within_speaker,,,
5,all,상담사,,33384,e_mean_db,,population_gender,,,
5,all,상담사,,16760,e_mean_db,,within_speaker,,,
5,customer_only,고객,,76605,e_mean_db,,within_speaker,,,
5,customer_only,고객,,8591,e_mean_db,,population_gender,,,
1,all,고객,,14411,e_std_db,,,population_gender,,
1,all,상담사,,5436,e_std_db,,,population_gender,,
1,customer_only,고객,,19548,e_std_db,,,population_gender,,
2,all,고객,,25194,e_std_db,,,population_gender,,
2,all,상담사,,14372,e_std_db,,,population_gender,,
2,customer_only,고객,,38275,e_std_db,,,population_gender,,
3,all,고객,,33535,e_std_db,,,population_gender,,
3,all,상담사,,25632,e_std_db,,,population_gender,,
3,customer_only,고객,,55700,e_std_db,,,population_gender,,
5,all,고객,,32546,e_std_db,,,population_gender,,
5,all,고객,,14959,e_std_db,,,within_speaker,,
5,all,상담사,,33384,e_std_db,,,population_gender,,
5,all,상담사,,16760,e_std_db,,,within_speaker,,
5,customer_only,고객,,76605,e_std_db,,,within_speaker,,
5,customer_only,고객,,8591,e_std_db,,,population_gender,,
1,all,고객,,14411,r_gold,,,,population_gender,
1,all,상담사,,5436,r_gold,,,,population_gender,
1,customer_only,고객,,19548,r_gold,,,,population_gender,
2,all,고객,,25194,r_gold,,,,population_gender,
2,all,상담사,,14372,r_gold,,,,population_gender,
2,customer_only,고객,,38275,r_gold,,,,population_gender,
3,all,고객,,33535,r_gold,,,,population_gender,
3,all,상담사,,25632,r_gold,,,,population_gender,
3,customer_only,고객,,55700,r_gold,,,,population_gender,
5,all,고객,,32546,r_gold,,,,population_gender,
5,all,고객,,14959,r_gold,,,,within_speaker,
5,all,상담사,,33384,r_gold,,,,population_gender,
5,all,상담사,,16760,r_gold,,,,within_speaker,
5,customer_only,고객,,76605,r_gold,,,,within_speaker,
5,customer_only,고객,,8591,r_gold,,,,population_gender,
1,all,고객,,14411,s_top_db30,,,,,population_gender
1,all,상담사,,5436,s_top_db30,,,,,population_gender
1,customer_only,고객,,19548,s_top_db30,,,,,population_gender
2,all,고객,,25194,s_top_db30,,,,,population_gender
2,all,상담사,,14372,s_top_db30,,,,,population_gender
2,customer_only,고객,,38275,s_top_db30,,,,,population_gender
3,all,고객,,33535,s_top_db30,,,,,population_gender
3,all,상담사,,25632,s_top_db30,,,,,population_gender
3,customer_only,고객,,55700,s_top_db30,,,,,population_gender
5,all,고객,,32546,s_top_db30,,,,,population_gender
5,all,고객,,14959,s_top_db30,,,,,within_speaker
5,all,상담사,,33384,s_top_db30,,,,,population_gender
5,all,상담사,,16760,s_top_db30,,,,,within_speaker
5,customer_only,고객,,76605,s_top_db30,,,,,within_speaker
5,customer_only,고객,,8591,s_top_db30,,,,,population_gender
