n,version,feature,n_calls,changed_calls,changed_call_pct,n_rows,changed_rows
2,customer_only,f0_mean,19548,11768,60.2,38275,15473
2,customer_only,f0_std,19548,13973,71.48,38275,19969
2,customer_only,e_mean_db,19548,14768,75.55,38275,21763
2,customer_only,e_std_db,19548,14774,75.58,38275,22020
2,customer_only,r_gold,19548,14384,73.58,38275,20477
2,customer_only,s_top_db30,19548,14893,76.19,38275,21917
2,all,f0_mean,19847,7037,35.46,39566,8833
2,all,f0_std,19847,9632,48.53,39566,12919
2,all,e_mean_db,19847,10760,54.21,39566,14648
2,all,e_std_db,19847,10606,53.44,39566,14477
2,all,r_gold,19847,9623,48.49,39566,12899
2,all,s_top_db30,19847,10796,54.4,39566,14642
3,customer_only,f0_mean,19548,15204,77.78,55700,26039
3,customer_only,f0_std,19548,16940,86.66,55700,32404
3,customer_only,e_mean_db,19548,17530,89.68,55700,34971
3,customer_only,e_std_db,19548,17519,89.62,55700,34747
3,customer_only,r_gold,19548,17329,88.65,55700,32997
3,customer_only,s_top_db30,19548,17603,90.05,55700,35007
3,all,f0_mean,19847,13437,67.7,59167,19538
3,all,f0_std,19847,15956,80.4,59167,26023
3,all,e_mean_db,19847,16784,84.57,59167,28959
3,all,e_std_db,19847,16522,83.25,59167,28183
3,all,r_gold,19847,15864,79.93,59167,25879
3,all,s_top_db30,19847,16796,84.63,59167,28979
