순번,call_id,gold_actual,층,seed
1,J19_S033197,환불요청,환불요청,42
2,J19_S000811,환불요청,환불요청,42
3,J18_S004053,불만제기,불만제기,42
4,J19_S026825,불만제기,불만제기,42
5,J19_S024992,불만제기,불만제기,42
6,J18_S018551,배송확인,중립(배송확인/구매진행),42
7,J19_S018452,환불요청,환불요청,42
8,J18_S002983,배송확인,중립(배송확인/구매진행),42
9,J18_S016341,환불요청,환불요청,42
10,J18_S003662,배송확인,중립(배송확인/구매진행),42
11,J18_S020382,환불요청,환불요청,42
12,J19_S033191,환불요청,환불요청,42
13,J19_S009397,구매진행,중립(배송확인/구매진행),42
14,J18_S012148,불만제기,불만제기,42
15,J19_S023499,구매진행,중립(배송확인/구매진행),42
16,J17_S004653,배송확인,중립(배송확인/구매진행),42
17,J19_S005516,환불요청,환불요청,42
18,J19_S029736,불만제기,불만제기,42
19,J19_S015682,구매진행,중립(배송확인/구매진행),42
20,J19_S026323,환불요청,환불요청,42
21,J19_S024384,구매진행,중립(배송확인/구매진행),42
22,J18_S017177,배송확인,중립(배송확인/구매진행),42
23,J18_S000415,배송확인,중립(배송확인/구매진행),42
24,J19_S009363,환불요청,환불요청,42
25,J19_S026618,환불요청,환불요청,42
