section,n,condition,pair,metric,v_base,v3_orig,delta,class
불만제기_클래스,2,A,,recall,0.05275779376498801,0.05275779376498801,0.0,
불만제기_클래스,2,A,,precision,0.052884615384615384,0.052884615384615384,0.0,
불만제기_클래스,2,A,,f1,0.05282112845138055,0.05282112845138055,0.0,
불만제기_클래스,2,B,,recall,0.05755395683453238,0.0671462829736211,0.009592326139088725,
불만제기_클래스,2,B,,precision,0.04428044280442804,0.08092485549132948,0.03664441268690144,
불만제기_클래스,2,B,,f1,0.05005213764337852,0.07339449541284404,0.02334235776946552,
불만제기_클래스,2,C,,recall,0.03836930455635491,0.03836930455635491,0.0,
불만제기_클래스,2,C,,precision,0.0387409200968523,0.0387409200968523,0.0,
불만제기_클래스,2,C,,f1,0.03855421686746988,0.03855421686746988,0.0,
불만제기_클래스,2,D,,recall,0.05275779376498801,0.05275779376498801,0.0,
불만제기_클래스,2,D,,precision,0.043478260869565216,0.07432432432432433,0.030846063454759112,
불만제기_클래스,2,D,,f1,0.047670639219934995,0.061711079943899017,0.014040440723964022,
불만제기_클래스,3,A,,recall,0.05515587529976019,0.05515587529976019,0.0,
불만제기_클래스,3,A,,precision,0.08712121212121213,0.08712121212121213,0.0,
불만제기_클래스,3,A,,f1,0.06754772393538913,0.06754772393538913,0.0,
불만제기_클래스,3,B,,recall,0.05995203836930456,0.08633093525179857,0.026378896882494007,
불만제기_클래스,3,B,,precision,0.07225433526011561,0.11042944785276074,0.038175112592645125,
불만제기_클래스,3,B,,f1,0.0655307994757536,0.09690444145356662,0.03137364197781302,
불만제기_클래스,3,C,,recall,0.03357314148681055,0.03357314148681055,0.0,
불만제기_클래스,3,C,,precision,0.05511811023622047,0.05511811023622047,0.0,
불만제기_클래스,3,C,,f1,0.041728763040238454,0.041728763040238454,0.0,
불만제기_클래스,3,D,,recall,0.03597122302158273,0.047961630695443645,0.011990407673860913,
불만제기_클래스,3,D,,precision,0.053003533568904596,0.08163265306122448,0.028629119492319888,
불만제기_클래스,3,D,,f1,0.04285714285714286,0.06042296072507553,0.017565817867932675,
불만제기_클래스,5,A,,recall,0.0407673860911271,0.0407673860911271,0.0,
불만제기_클래스,5,A,,precision,0.0821256038647343,0.0821256038647343,0.0,
불만제기_클래스,5,A,,f1,0.05448717948717949,0.05448717948717949,0.0,
불만제기_클래스,5,B,,recall,0.045563549160671464,0.09352517985611511,0.047961630695443645,
불만제기_클래스,5,B,,precision,0.07224334600760456,0.14338235294117646,0.0711390069335719,
불만제기_클래스,5,B,,f1,0.05588235294117647,0.11320754716981132,0.05732519422863485,
불만제기_클래스,5,C,,recall,0.03836930455635491,0.03836930455635491,0.0,
불만제기_클래스,5,C,,precision,0.1111111111111111,0.1111111111111111,0.0,
불만제기_클래스,5,C,,f1,0.0570409982174688,0.0570409982174688,0.0,
불만제기_클래스,5,D,,recall,0.047961630695443645,0.05995203836930456,0.011990407673860913,
불만제기_클래스,5,D,,precision,0.14084507042253522,0.12195121951219512,-0.0188938509103401,
불만제기_클래스,5,D,,f1,0.07155635062611806,0.08038585209003216,0.008829501463914091,
7way_전체_참고,2,A,,accuracy,0.3191136881341893,0.3191136881341893,0.0,
7way_전체_참고,2,A,,macro_f1,0.2700443147734505,0.2700443147734505,0.0,
7way_전체_참고,2,B,,accuracy,0.33029612756264237,0.3330917374197556,0.002795609857113246,
7way_전체_참고,2,B,,macro_f1,0.27625903112971983,0.27996816278730824,0.003709131657588405,
7way_전체_참고,2,C,,accuracy,0.3318492441499275,0.3318492441499275,0.0,
7way_전체_참고,2,C,,macro_f1,0.27350715201891573,0.27350715201891573,0.0,
7way_전체_참고,2,D,,accuracy,0.3407537792503624,0.3460343756471319,0.005280596396769532,
7way_전체_참고,2,D,,macro_f1,0.27996076014550747,0.2828901213022236,0.0029293611567161038,
7way_전체_참고,3,A,,accuracy,0.4214123006833713,0.4214123006833713,0.0,
7way_전체_참고,3,A,,macro_f1,0.35541434716586895,0.35541434716586895,0.0,
7way_전체_참고,3,B,,accuracy,0.43559743218057567,0.43383723338165253,-0.0017601987989231405,
7way_전체_참고,3,B,,macro_f1,0.36229201677352496,0.3612543392199787,-0.001037677553546279,
7way_전체_참고,3,C,,accuracy,0.4614827086353282,0.4614827086353282,0.0,
7way_전체_참고,3,C,,macro_f1,0.3763373741031244,0.3763373741031244,0.0,
7way_전체_참고,3,D,,accuracy,0.47804928556636983,0.47390764133360946,-0.004141644232760366,
7way_전체_참고,3,D,,macro_f1,0.38746577266601123,0.38179756566544487,-0.005668207000566361,
7way_전체_참고,5,A,,accuracy,0.4806378132118451,0.4806378132118451,0.0,
