n,pair,class,delta_recall_before,delta_recall_after,delta_precision_before,delta_precision_after,trigger_happy_before,trigger_happy_after,trigger_happy_status
2,customer_only,환불요청,0.023858921161825752,0.026141078838174292,-0.009206102387033677,-0.009615981473815038,True,True,유지
2,customer_only,주문취소,0.005928853754940677,-0.011857707509881465,0.0011293309458806355,-0.004086678301337979,False,False,없음(유지)
2,customer_only,불만제기,0.011990407673860913,0.004796163069544369,-0.005349404117009751,-0.008604172580187343,True,True,유지
2,all,환불요청,0.019917012448132765,0.019709543568464716,-0.009070016135851233,-0.011972669717294493,True,True,유지
2,all,주문취소,0.009881422924901184,-0.007905138339920958,0.0040866568193008435,-0.0031404818237669996,False,False,없음(유지)
2,all,불만제기,0.016786570743405275,0.014388489208633094,0.0032298828228557244,0.004737340772712914,False,False,없음(유지)
3,customer_only,환불요청,0.027800829875518684,0.032365145228215764,-0.007593927308795045,-0.01245325139627984,True,True,유지
3,customer_only,주문취소,0.0039525691699604515,-0.015810276679841917,0.008147836606338749,0.004604980548513771,False,False,없음(유지)
3,customer_only,불만제기,0.007194244604316551,0.004796163069544369,-0.011097820308346634,-0.014866876861096515,True,True,유지
3,all,환불요청,0.02676348547717844,0.027178423236514537,0.0015210400678647984,-0.002243880815407495,False,True,새로 발생
3,all,주문취소,-0.007905138339920958,-0.005928853754940733,0.0055866121340929775,0.007447736366497315,False,False,없음(유지)
3,all,불만제기,0.019184652278177457,0.0023980815347721812,0.016079300767015775,-0.002114576667315876,False,True,새로 발생
5,customer_only,환불요청,0.012655601659751048,0.013692946058091293,-0.0010075922795848014,0.00109477592917806,True,False,해소됨
5,customer_only,주문취소,-0.0019762845849802257,-0.007905138339921014,0.0023709516213054616,0.002369814796049141,False,False,없음(유지)
5,customer_only,불만제기,0.0023980815347721812,0.0047961630695443624,-0.012627534366664805,-0.009882257857129748,True,True,유지
5,all,환불요청,0.007468879668049877,0.00684647302904573,-0.003216000362013638,-0.0035931915366407274,True,True,유지
5,all,주문취소,-0.0019762845849802257,-0.009881422924901129,0.003235224493016664,0.0014084215560931368,False,False,없음(유지)
5,all,불만제기,-0.0023980815347721812,0.009592326139088732,0.0025252525252525276,0.029733959311424113,False,False,없음(유지)
