condition,condition_label,n,n_total,n_valid,accuracy,mismatch_rate
A,고객only+Text,1,19548,19548,0.5059341109064865,0.49406588909351346
B,고객only+Text&Acoustic,1,19548,19548,0.5015346838551259,0.4984653161448741
C,고객&상담사+Text,1,19847,19847,0.47730135536856955,0.5226986446314305
D,고객&상담사+Text&Acoustic,1,19847,19847,0.4720108832569154,0.5279891167430846
A,고객only+Text,2,19548,19548,0.6181195007161858,0.3818804992838142
B,고객only+Text&Acoustic,2,19548,19548,0.6143851033353795,0.38561489666462045
C,고객&상담사+Text,2,19847,19847,0.6183302262306646,0.3816697737693354
D,고객&상담사+Text&Acoustic,2,19847,19847,0.6159621101425908,0.38403788985740916
A,고객only+Text,3,19548,19548,0.663085737671373,0.336914262328627
B,고객only+Text&Acoustic,3,19548,19548,0.6625230202578268,0.33747697974217317
C,고객&상담사+Text,3,19847,19847,0.6847886330427773,0.31521136695722274
D,고객&상담사+Text&Acoustic,3,19847,19847,0.6853932584269663,0.3146067415730337
A,고객only+Text,5,19548,19548,0.6941886638019235,0.30581133619807654
B,고객only+Text&Acoustic,5,19548,19548,0.6878453038674033,0.3121546961325967
C,고객&상담사+Text,5,19847,19847,0.7533128432508691,0.2466871567491309
D,고객&상담사+Text&Acoustic,5,19847,19847,0.7510958835088426,0.2489041164911574
