n,pair,cond_no_acoustic,cond_acoustic,class,is_negative_destination,precision_no_ac,precision_ac,delta_precision,recall_no_ac,recall_ac,delta_recall,f1_no_ac,f1_ac,delta_f1,support,low_support_flag,trigger_happy_flag
1,customer_only,A,B,환불요청,True,0.0,0.24549237170596394,0.24549237170596394,0.0,0.036721991701244815,0.036721991701244815,0.0,0.06388738494856525,0.06388738494856525,4820,False,False
1,customer_only,A,B,주문취소,True,0.0,0.012974051896207584,0.012974051896207584,0.0,0.025691699604743084,0.025691699604743084,0.0,0.017241379310344827,0.017241379310344827,506,False,False
1,customer_only,A,B,불만제기,True,0.0,0.013265306122448979,0.013265306122448979,0.0,0.03117505995203837,0.03117505995203837,0.0,0.018611309949892626,0.018611309949892626,417,False,False
1,customer_only,A,B,배송확인,False,0.0,0.013075965130759652,0.013075965130759652,0.0,0.022128556375131718,0.022128556375131718,0.0,0.01643835616438356,0.01643835616438356,949,False,False
1,customer_only,A,B,교환반품,False,0.0,0.10064935064935066,0.10064935064935066,0.0,0.023449319213313162,0.023449319213313162,0.0,0.03803680981595092,0.03803680981595092,1322,False,False
1,customer_only,A,B,구매진행,False,0.0,0.02188006482982172,0.02188006482982172,0.0,0.04918032786885246,0.04918032786885246,0.0,0.03028603477285474,0.03028603477285474,549,False,False
1,customer_only,A,B,서비스이용,False,0.0,0.029944838455476755,0.029944838455476755,0.0,0.10410958904109589,0.10410958904109589,0.0,0.046511627906976744,0.046511627906976744,1095,False,False
1,all,C,D,환불요청,True,0.37546933667083854,0.44431946006749157,0.06885012339665303,0.06224066390041494,0.08195020746887967,0.01970954356846473,0.10678056593699947,0.13837799964967595,0.03159743371267648,4820,False,False
1,all,C,D,주문취소,True,0.022592152199762187,0.027644230769230768,0.0050520785694685814,0.037549407114624504,0.045454545454545456,0.007905138339920952,0.028210838901262063,0.0343796711509716,0.006168832249709533,506,False,False
1,all,C,D,불만제기,True,0.011095700416088766,0.019562715765247412,0.008467015349158646,0.019184652278177457,0.0407673860911271,0.021582733812949645,0.014059753954305799,0.026438569206842923,0.012378815252537125,417,False,False
1,all,C,D,배송확인,False,0.0611439842209073,0.07195301027900147,0.010809026058094175,0.09799789251844046,0.10326659641728135,0.00526870389884089,0.07530364372469636,0.08481176979662484,0.009508126071928483,949,False,False
1,all,C,D,교환반품,False,0.24310776942355888,0.2844574780058651,0.041349708582306244,0.07337367624810892,0.07337367624810892,0.0,0.11272515979081929,0.11665664461815996,0.003931484827340667,1322,False,False
1,all,C,D,구매진행,False,0.026102610261026102,0.04835390946502058,0.022251299203994476,0.052823315118397086,0.08561020036429873,0.03278688524590164,0.03493975903614458,0.06180144641683103,0.02686168738068645,549,False,False
1,all,C,D,서비스이용,False,0.0593061415846226,0.06874573184611883,0.009439590261496232,0.2310502283105023,0.27579908675799086,0.044748858447488576,0.09438537586271219,0.11005830903790087,0.015672933175188683,1095,False,False
2,customer_only,A,B,환불요청,True,0.7075962539021852,0.6983901515151515,-0.009206102387033677,0.2821576763485477,0.30601659751037347,0.023858921161825752,0.4034411153960249,0.4255626081938834,0.022121492797858522,4820,False,True
2,customer_only,A,B,주문취소,True,0.1263089005235602,0.12743823146944083,0.0011293309458806355,0.3814229249011858,0.38735177865612647,0.005928853754940677,0.18977384464110128,0.1917808219178082,0.0020069772767069283,506,False,False
2,customer_only,A,B,불만제기,True,0.052884615384615384,0.04753521126760563,-0.005349404117009751,0.05275779376498801,0.06474820143884892,0.011990407673860913,0.05282112845138055,0.05482233502538071,0.0020012065740001583,417,False,True
2,customer_only,A,B,배송확인,False,0.27870813397129185,0.29960835509138384,0.02090022112009199,0.4910432033719705,0.48366701791359323,-0.00737618545837726,0.35558946966806565,0.37001209189842804,0.014422622230362392,949,False,False
2,customer_only,A,B,교환반품,False,0.530952380952381,0.5341317365269461,0.003179355574565168,0.3373676248108926,0.3373676248108926,0.0,0.4125809435707678,0.4135373203523412,0.0009563767815733981,1322,False,False
2,customer_only,A,B,구매진행,False,0.15990639625585024,0.17619926199261993,0.01629286573676969,0.37340619307832423,0.34790528233151186,-0.025500910746812377,0.2239213544511196,0.23392529087568892,0.010003936424569315,549,False,False
