n,condition,class,precision,recall,f1,support,low_support_flag,n_total,accuracy,macro_f1,weighted_f1,n_out_of_taxonomy_pred
1,A,환불요청,0.0,0.0,0.0,4820,False,9658,0.0,0.0,0.0,0
1,A,주문취소,0.0,0.0,0.0,506,False,9658,0.0,0.0,0.0,0
1,A,불만제기,0.0,0.0,0.0,417,False,9658,0.0,0.0,0.0,0
1,A,배송확인,0.0,0.0,0.0,949,False,9658,0.0,0.0,0.0,0
1,A,교환반품,0.0,0.0,0.0,1322,False,9658,0.0,0.0,0.0,0
1,A,구매진행,0.0,0.0,0.0,549,False,9658,0.0,0.0,0.0,0
1,A,서비스이용,0.0,0.0,0.0,1095,False,9658,0.0,0.0,0.0,0
1,B,환불요청,0.24549237170596394,0.036721991701244815,0.06388738494856525,4820,False,9658,0.04100227790432802,0.033001843266995526,0.047407763290261765,0
1,B,주문취소,0.012974051896207584,0.025691699604743084,0.017241379310344827,506,False,9658,0.04100227790432802,0.033001843266995526,0.047407763290261765,0
1,B,불만제기,0.013265306122448979,0.03117505995203837,0.018611309949892626,417,False,9658,0.04100227790432802,0.033001843266995526,0.047407763290261765,0
1,B,배송확인,0.013075965130759652,0.022128556375131718,0.01643835616438356,949,False,9658,0.04100227790432802,0.033001843266995526,0.047407763290261765,0
1,B,교환반품,0.10064935064935066,0.023449319213313162,0.03803680981595092,1322,False,9658,0.04100227790432802,0.033001843266995526,0.047407763290261765,0
1,B,구매진행,0.02188006482982172,0.04918032786885246,0.03028603477285474,549,False,9658,0.04100227790432802,0.033001843266995526,0.047407763290261765,0
1,B,서비스이용,0.029944838455476755,0.10410958904109589,0.046511627906976744,1095,False,9658,0.04100227790432802,0.033001843266995526,0.047407763290261765,0
1,C,환불요청,0.37546933667083854,0.06224066390041494,0.10678056593699947,4820,False,9658,0.08272934354938911,0.0666292996009914,0.09089248945102865,0
1,C,주문취소,0.022592152199762187,0.037549407114624504,0.028210838901262063,506,False,9658,0.08272934354938911,0.0666292996009914,0.09089248945102865,0
1,C,불만제기,0.011095700416088766,0.019184652278177457,0.014059753954305799,417,False,9658,0.08272934354938911,0.0666292996009914,0.09089248945102865,0
1,C,배송확인,0.0611439842209073,0.09799789251844046,0.07530364372469636,949,False,9658,0.08272934354938911,0.0666292996009914,0.09089248945102865,0
1,C,교환반품,0.24310776942355888,0.07337367624810892,0.11272515979081929,1322,False,9658,0.08272934354938911,0.0666292996009914,0.09089248945102865,0
1,C,구매진행,0.026102610261026102,0.052823315118397086,0.03493975903614458,549,False,9658,0.08272934354938911,0.0666292996009914,0.09089248945102865,0
1,C,서비스이용,0.0593061415846226,0.2310502283105023,0.09438537586271219,1095,False,9658,0.08272934354938911,0.0666292996009914,0.09089248945102865,0
1,D,환불요청,0.44431946006749157,0.08195020746887967,0.13837799964967595,4820,False,9658,0.10136674259681093,0.08178920141100103,0.11229573943618033,0
1,D,주문취소,0.027644230769230768,0.045454545454545456,0.0343796711509716,506,False,9658,0.10136674259681093,0.08178920141100103,0.11229573943618033,0
