n,pair,cond_no_acoustic,cond_acoustic,label,n_calls,accuracy_no_acoustic,accuracy_acoustic,acoustic_effect
2,customer_only,A,B,환불요청,8456,0.5627956480605487,0.5690633869441817,0.006267738883632967
2,customer_only,A,B,주문취소,767,0.5723598435462842,0.5775749674054759,0.0052151238591916504
2,customer_only,A,B,불만제기,484,0.11363636363636363,0.12396694214876033,0.010330578512396701
2,customer_only,A,B,배송확인,2241,0.7452030343596608,0.7380633645693887,-0.007139669790272141
2,customer_only,A,B,교환반품,1983,0.5254664649520928,0.5224407463439233,-0.00302571860816947
2,customer_only,A,B,구매진행,1070,0.6364485981308411,0.6009345794392523,-0.03551401869158877
2,customer_only,A,B,서비스이용,4547,0.7558829997800748,0.7393886078733231,-0.016494391906751726
2,all,C,D,환불요청,8563,0.5787691229709214,0.5818054420179843,0.0030363190470629187
2,all,C,D,주문취소,775,0.535483870967742,0.5470967741935484,0.011612903225806437
2,all,C,D,불만제기,484,0.08264462809917356,0.1012396694214876,0.018595041322314043
2,all,C,D,배송확인,2282,0.7186678352322524,0.7063978965819456,-0.012269938650306789
2,all,C,D,교환반품,2009,0.5425584868093579,0.5460428073668492,0.0034843205574912606
2,all,C,D,구매진행,1079,0.5959221501390176,0.5792400370713624,-0.016682113067655213
2,all,C,D,서비스이용,4655,0.7493018259935553,0.7381310418904404,-0.011170784103114895
3,customer_only,A,B,환불요청,8456,0.6148297067171239,0.6287842951750237,0.013954588457899764
3,customer_only,A,B,주문취소,767,0.6466753585397653,0.6492829204693612,0.0026075619295958807
3,customer_only,A,B,불만제기,484,0.09297520661157024,0.09917355371900827,0.006198347107438024
3,customer_only,A,B,배송확인,2241,0.8014279339580545,0.7969656403391343,-0.004462293618920143
3,customer_only,A,B,교환반품,1983,0.6192637418053455,0.6177508825012608,-0.001512859304084735
3,customer_only,A,B,구매진행,1070,0.705607476635514,0.6672897196261682,-0.03831775700934581
3,customer_only,A,B,서비스이용,4547,0.7572025511326149,0.7396085330987464,-0.017594018033868508
3,all,C,D,환불요청,8563,0.6585308887072288,0.6677566273502277,0.009225738642998915
3,all,C,D,주문취소,775,0.6335483870967742,0.6206451612903225,-0.012903225806451646
3,all,C,D,불만제기,484,0.06818181818181818,0.08471074380165289,0.01652892561983471
3,all,C,D,배송확인,2282,0.8115687992988606,0.810692375109553,-0.0008764241893075564
3,all,C,D,교환반품,2009,0.6714783474365356,0.6859133897461424,0.014435042309606794
3,all,C,D,구매진행,1079,0.6858202038924931,0.6682113067655236,-0.017608897126969447
3,all,C,D,서비스이용,4655,0.7490870032223416,0.7334049409237379,-0.015682062298603694
5,customer_only,A,B,환불요청,8456,0.6508987701040682,0.6497161778618732,-0.0011825922421949686
5,customer_only,A,B,주문취소,767,0.6936114732724902,0.6949152542372882,0.0013037809647979959
5,customer_only,A,B,불만제기,484,0.07851239669421488,0.07231404958677685,-0.006198347107438024
5,customer_only,A,B,배송확인,2241,0.8518518518518519,0.8353413654618473,-0.01651048639000452
5,customer_only,A,B,교환반품,1983,0.6686838124054463,0.6666666666666666,-0.0020171457387796465
5,customer_only,A,B,구매진행,1070,0.7140186915887851,0.7009345794392523,-0.013084112149532756
5,customer_only,A,B,서비스이용,4547,0.7690785133054762,0.7565427754563449,-0.012535737849131312
5,all,C,D,환불요청,8563,0.7526567791661801,0.7528903421698003,0.00023356300362020743
5,all,C,D,주문취소,775,0.6838709677419355,0.6735483870967742,-0.010322580645161228
5,all,C,D,불만제기,484,0.05785123966942149,0.06198347107438017,0.004132231404958678
5,all,C,D,배송확인,2282,0.8895705521472392,0.8882559158632778,-0.0013146362839614456
5,all,C,D,교환반품,2009,0.7755102040816326,0.7665505226480837,-0.008959681433548972
5,all,C,D,구매진행,1079,0.76274328081557,0.7414272474513438,-0.02131603336422616
5,all,C,D,서비스이용,4655,0.759828141783029,0.760687432867884,0.0008592910848549407
