call_id,층,gold_actual
J18_S009866,불만제기,불만제기
J18_S015318,불만제기,불만제기
J17_S004251,중립(배송/구매/서비스/교환),서비스이용
J18_S019451,불만제기,불만제기
J18_S018545,불만제기,불만제기
J18_S017954,중립(배송/구매/서비스/교환),교환반품
J17_S004282,중립(배송/구매/서비스/교환),서비스이용
J19_S000492,불만제기,불만제기
J19_S037712,중립(배송/구매/서비스/교환),구매진행
J19_S024678,환불요청_주문취소,환불요청
J19_S015252,불만제기,불만제기
J17_S004407,중립(배송/구매/서비스/교환),서비스이용
J17_S005377,중립(배송/구매/서비스/교환),서비스이용
J18_S019096,불만제기,불만제기
J18_S022051,중립(배송/구매/서비스/교환),교환반품
J19_S015380,중립(배송/구매/서비스/교환),서비스이용
J16_S000958,중립(배송/구매/서비스/교환),서비스이용
J18_S009477,중립(배송/구매/서비스/교환),배송확인
J17_S002527,중립(배송/구매/서비스/교환),서비스이용
J19_S016166,중립(배송/구매/서비스/교환),구매진행
J18_S020904,불만제기,불만제기
J19_S020573,불만제기,불만제기
J19_S022275,환불요청_주문취소,주문취소
J19_S013726,환불요청_주문취소,주문취소
J19_S032313,환불요청_주문취소,환불요청
J18_S003133,중립(배송/구매/서비스/교환),교환반품
J19_S012998,불만제기,불만제기
J18_S019465,환불요청_주문취소,환불요청
J18_S002620,불만제기,불만제기
J18_S016263,중립(배송/구매/서비스/교환),교환반품
J19_S011763,환불요청_주문취소,환불요청
J18_S012580,환불요청_주문취소,환불요청
J18_S014160,불만제기,불만제기
J18_S015483,불만제기,불만제기
J19_S035051,불만제기,불만제기
J18_S018111,불만제기,불만제기
J16_S004385,중립(배송/구매/서비스/교환),서비스이용
J18_S022128,중립(배송/구매/서비스/교환),교환반품
J17_S003555,중립(배송/구매/서비스/교환),서비스이용
J19_S017492,중립(배송/구매/서비스/교환),구매진행
J17_S003107,중립(배송/구매/서비스/교환),서비스이용
J19_S037349,환불요청_주문취소,환불요청
J18_S006339,중립(배송/구매/서비스/교환),구매진행
J19_S022151,중립(배송/구매/서비스/교환),구매진행
J19_S014134,환불요청_주문취소,환불요청
J19_S022196,중립(배송/구매/서비스/교환),구매진행
J19_S015683,중립(배송/구매/서비스/교환),구매진행
J19_S008616,불만제기,불만제기
J19_S005142,환불요청_주문취소,환불요청
J16_S004860,중립(배송/구매/서비스/교환),서비스이용
J16_S005371,중립(배송/구매/서비스/교환),서비스이용
J18_S010575,환불요청_주문취소,환불요청
J19_S031437,환불요청_주문취소,환불요청
J19_S005915,불만제기,불만제기
J19_S009410,불만제기,불만제기
J18_S007638,중립(배송/구매/서비스/교환),교환반품
J18_S015620,불만제기,불만제기
J19_S037494,환불요청_주문취소,주문취소
J18_S022533,환불요청_주문취소,환불요청
J18_S005096,중립(배송/구매/서비스/교환),교환반품
J19_S025273,환불요청_주문취소,환불요청
J19_S035281,환불요청_주문취소,환불요청
J19_S021177,환불요청_주문취소,환불요청
J18_S007495,환불요청_주문취소,환불요청
J19_S026045,환불요청_주문취소,주문취소
J19_S037534,불만제기,불만제기
J19_S013743,환불요청_주문취소,환불요청
J18_S019006,중립(배송/구매/서비스/교환),교환반품
J18_S022730,중립(배송/구매/서비스/교환),서비스이용
J19_S004009,환불요청_주문취소,환불요청
J18_S007630,중립(배송/구매/서비스/교환),교환반품
J19_S019004,환불요청_주문취소,환불요청
J19_S011293,불만제기,불만제기
J18_S020184,불만제기,불만제기
J19_S026351,중립(배송/구매/서비스/교환),서비스이용
J19_S031536,불만제기,불만제기
J18_S003446,중립(배송/구매/서비스/교환),교환반품
J16_S000821,불만제기,불만제기
J18_S002665,불만제기,불만제기
J18_S013450,중립(배송/구매/서비스/교환),교환반품
J19_S037543,환불요청_주문취소,주문취소
J17_S002103,중립(배송/구매/서비스/교환),서비스이용
J18_S006231,불만제기,불만제기
J18_S018002,환불요청_주문취소,환불요청
J19_S026034,중립(배송/구매/서비스/교환),서비스이용
J18_S010047,불만제기,불만제기
J19_S018013,환불요청_주문취소,환불요청
J18_S010362,불만제기,불만제기
J18_S003574,중립(배송/구매/서비스/교환),배송확인
J16_S006628,중립(배송/구매/서비스/교환),서비스이용
J19_S033082,중립(배송/구매/서비스/교환),구매진행
J18_S007629,중립(배송/구매/서비스/교환),배송확인
J18_S022896,불만제기,불만제기
J19_S033877,환불요청_주문취소,주문취소
J18_S014851,환불요청_주문취소,환불요청
J18_S023193,환불요청_주문취소,환불요청
J19_S029590,중립(배송/구매/서비스/교환),서비스이용
J19_S033478,중립(배송/구매/서비스/교환),구매진행
J19_S035298,중립(배송/구매/서비스/교환),교환반품
J18_S001443,불만제기,불만제기
J18_S014181,불만제기,불만제기
J17_S004468,중립(배송/구매/서비스/교환),서비스이용
J19_S035872,중립(배송/구매/서비스/교환),서비스이용
J19_S031419,불만제기,불만제기
J18_S012661,불만제기,불만제기
J18_S002502,불만제기,불만제기
J18_S012433,불만제기,불만제기
J18_S003491,불만제기,불만제기
J19_S032422,중립(배송/구매/서비스/교환),구매진행
J18_S010057,중립(배송/구매/서비스/교환),배송확인
J17_S002454,중립(배송/구매/서비스/교환),서비스이용
J19_S024626,환불요청_주문취소,환불요청
J19_S007102,환불요청_주문취소,환불요청
J18_S004761,불만제기,불만제기
J16_S000809,중립(배송/구매/서비스/교환),배송확인
J19_S018033,환불요청_주문취소,환불요청
J19_S000681,중립(배송/구매/서비스/교환),서비스이용
J19_S030552,불만제기,불만제기
J19_S031630,불만제기,불만제기
J16_S001320,중립(배송/구매/서비스/교환),서비스이용
J19_S008629,환불요청_주문취소,환불요청
J18_S000191,중립(배송/구매/서비스/교환),교환반품
J19_S000085,중립(배송/구매/서비스/교환),서비스이용
J19_S017809,환불요청_주문취소,환불요청
J16_S006947,중립(배송/구매/서비스/교환),서비스이용
J17_S001676,중립(배송/구매/서비스/교환),서비스이용
J19_S034328,환불요청_주문취소,환불요청
J18_S002033,불만제기,불만제기
J16_S001593,중립(배송/구매/서비스/교환),서비스이용
J19_S003407,환불요청_주문취소,환불요청
J19_S032978,불만제기,불만제기
J19_S000007,중립(배송/구매/서비스/교환),구매진행
J17_S000720,중립(배송/구매/서비스/교환),서비스이용
J18_S022181,불만제기,불만제기
J18_S007945,불만제기,불만제기
J18_S007540,불만제기,불만제기
J16_S003571,중립(배송/구매/서비스/교환),서비스이용
J16_S001349,중립(배송/구매/서비스/교환),서비스이용
J18_S015434,불만제기,불만제기
J18_S014582,불만제기,불만제기
J16_S006665,중립(배송/구매/서비스/교환),서비스이용
J18_S019003,불만제기,불만제기
J19_S024097,불만제기,불만제기
J19_S037035,환불요청_주문취소,주문취소
J19_S029240,환불요청_주문취소,환불요청
J19_S035972,불만제기,불만제기
J19_S011886,환불요청_주문취소,환불요청
J18_S017965,환불요청_주문취소,환불요청
J18_S001710,불만제기,불만제기
J18_S010528,환불요청_주문취소,환불요청
