call_id,gold_actual,A_N2_pred,A_N5_pred,unlock,shift,short,is_infopoor,layer
J16_S000007,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S000013,서비스이용,구매진행,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S000033,서비스이용,교환반품,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S000055,서비스이용,불만제기,배송확인,False,True,True,True,정보부족(infopoor)
J16_S000084,서비스이용,교환반품,교환반품,False,False,False,False,정보충분
J16_S000192,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S000195,서비스이용,구매진행,구매진행,False,False,False,False,정보충분
J16_S000196,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S000199,서비스이용,배송확인,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S000232,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S000315,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S000324,서비스이용,불만제기,불만제기,False,False,False,False,정보충분
J16_S000360,서비스이용,배송확인,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S000374,서비스이용,배송확인,배송확인,False,False,True,False,정보충분
J16_S000380,서비스이용,주문취소,구매진행,False,True,False,False,정보충분
J16_S000403,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S000447,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S000467,서비스이용,교환반품,교환반품,False,False,True,False,정보충분
J16_S000474,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S000502,서비스이용,환불요청,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S000509,서비스이용,구매진행,구매진행,False,False,False,False,정보충분
J16_S000544,서비스이용,교환반품,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S000586,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S000682,서비스이용,환불요청,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S000698,서비스이용,불만제기,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S000713,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S000739,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S000760,서비스이용,환불요청,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S000830,서비스이용,구매진행,구매진행,False,False,False,False,정보충분
J16_S000912,서비스이용,구매진행,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S000937,서비스이용,구매진행,구매진행,False,False,False,False,정보충분
J16_S000963,서비스이용,불만제기,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S000981,서비스이용,구매진행,배송확인,False,True,False,False,정보충분
J16_S001006,서비스이용,구매진행,구매진행,False,False,False,False,정보충분
J16_S001033,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S001035,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S001062,서비스이용,불만제기,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S001079,서비스이용,불만제기,불만제기,False,False,False,False,정보충분
J16_S001093,서비스이용,구매진행,구매진행,False,False,True,False,정보충분
J16_S001170,서비스이용,구매진행,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S001176,서비스이용,불만제기,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S001315,서비스이용,교환반품,불만제기,False,True,True,True,정보부족(infopoor)
J16_S001331,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S001347,서비스이용,주문취소,배송확인,False,True,True,True,정보부족(infopoor)
J16_S001415,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S001419,서비스이용,구매진행,구매진행,False,False,False,False,정보충분
J16_S001439,서비스이용,배송확인,배송확인,False,False,True,False,정보충분
J16_S001448,서비스이용,환불요청,주문취소,False,True,True,True,정보부족(infopoor)
J16_S001520,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S001575,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S001624,서비스이용,배송확인,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S001662,서비스이용,구매진행,구매진행,False,False,False,False,정보충분
J16_S001665,서비스이용,배송확인,배송확인,False,False,True,False,정보충분
J16_S001690,서비스이용,주문취소,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S001732,서비스이용,배송확인,구매진행,False,True,True,True,정보부족(infopoor)
J16_S001763,서비스이용,환불요청,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S001764,서비스이용,주문취소,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S001793,서비스이용,환불요청,환불요청,False,False,False,False,정보충분
J16_S001796,서비스이용,구매진행,구매진행,False,False,False,False,정보충분
J16_S001816,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S001825,서비스이용,불만제기,배송확인,False,True,False,False,정보충분
J16_S001837,서비스이용,구매진행,구매진행,False,False,False,False,정보충분
J16_S001893,서비스이용,불만제기,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S001932,서비스이용,환불요청,환불요청,False,False,True,False,정보충분
J16_S001971,서비스이용,배송확인,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S001979,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S002010,서비스이용,교환반품,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S002056,서비스이용,불만제기,불만제기,False,False,False,False,정보충분
J16_S002078,서비스이용,불만제기,주문취소,False,True,True,True,정보부족(infopoor)
J16_S002084,서비스이용,구매진행,구매진행,False,False,False,False,정보충분
J16_S002115,서비스이용,불만제기,불만제기,False,False,False,False,정보충분
J16_S002142,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S002151,서비스이용,불만제기,배송확인,False,True,False,False,정보충분
J16_S002190,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S002231,구매진행,환불요청,환불요청,False,False,False,False,정보충분
J16_S002296,서비스이용,불만제기,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S002342,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S002350,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S002374,서비스이용,불만제기,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S002387,서비스이용,주문취소,주문취소,False,False,True,False,정보충분
J16_S002464,서비스이용,불만제기,환불요청,False,True,True,True,정보부족(infopoor)
J16_S002494,서비스이용,구매진행,배송확인,False,True,False,False,정보충분
J16_S002500,서비스이용,배송확인,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S002516,서비스이용,구매진행,배송확인,False,True,False,False,정보충분
J16_S002533,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S002542,서비스이용,구매진행,배송확인,False,True,False,False,정보충분
J16_S002593,서비스이용,불만제기,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S002609,서비스이용,배송확인,배송확인,False,False,True,False,정보충분
J16_S002617,서비스이용,구매진행,배송확인,False,True,True,True,정보부족(infopoor)
J16_S002692,서비스이용,구매진행,주문취소,False,True,False,False,정보충분
J16_S002727,서비스이용,주문취소,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S002806,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S002816,서비스이용,주문취소,주문취소,False,False,False,False,정보충분
J16_S002852,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S002868,서비스이용,환불요청,환불요청,False,False,False,False,정보충분
J16_S002869,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S002894,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S002917,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S002970,서비스이용,구매진행,구매진행,False,False,False,False,정보충분
J16_S002985,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S002991,서비스이용,배송확인,배송확인,False,False,True,False,정보충분
J16_S003011,서비스이용,구매진행,구매진행,False,False,False,False,정보충분
J16_S003024,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S003027,서비스이용,구매진행,구매진행,False,False,False,False,정보충분
J16_S003051,서비스이용,불만제기,환불요청,False,True,False,False,정보충분
J16_S003076,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S003086,서비스이용,배송확인,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S003109,서비스이용,불만제기,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S003119,서비스이용,불만제기,불만제기,False,False,False,False,정보충분
J16_S003143,서비스이용,구매진행,환불요청,False,True,False,False,정보충분
J16_S003151,구매진행,주문취소,환불요청,False,True,False,False,정보충분
J16_S003152,서비스이용,구매진행,구매진행,False,False,False,False,정보충분
J16_S003155,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S003201,서비스이용,구매진행,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S003215,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S003280,서비스이용,환불요청,주문취소,False,True,False,False,정보충분
J16_S003309,교환반품,서비스이용,불만제기,False,True,False,False,정보충분
J16_S003429,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S003453,서비스이용,불만제기,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S003520,서비스이용,배송확인,주문취소,False,True,False,False,정보충분
J16_S003586,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S003616,서비스이용,불만제기,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S003699,서비스이용,구매진행,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S003708,서비스이용,환불요청,주문취소,False,True,True,True,정보부족(infopoor)
J16_S003712,서비스이용,주문취소,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S003726,서비스이용,배송확인,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S003738,서비스이용,교환반품,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S003788,서비스이용,배송확인,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S003806,서비스이용,구매진행,구매진행,False,False,False,False,정보충분
J16_S003835,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S003836,서비스이용,배송확인,서비스이용,True,True,False,True,정보부족(infopoor)
J16_S003841,서비스이용,환불요청,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S003860,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S003864,주문취소,서비스이용,서비스이용,False,False,False,False,정보충분
J16_S003928,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S003945,서비스이용,주문취소,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S003952,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S003954,서비스이용,배송확인,서비스이용,True,True,True,True,정보부족(infopoor)
J16_S003995,서비스이용,환불요청,환불요청,False,False,False,False,정보충분
J16_S004005,서비스이용,배송확인,배송확인,False,False,False,False,정보충분
J16_S004051,서비스이용,구매진행,서비스이용,True,True,True,True,정보부족(infopoor)
