scope,task,feature,xgb_importance,logreg_coef_abs_mean,logreg_coef_signed
n2,7way,n2_f0_mean_mean,0.08260088,0.10578135838664579,
n2,7way,n2_f0_mean_std,0.08258275,0.04032886934130199,
n2,7way,n2_f0_std_mean,0.08772247,0.06993645571582806,
n2,7way,n2_f0_std_std,0.08571271,0.0177923012307386,
n2,7way,n2_e_mean_db_mean,0.083460756,0.1840350508377439,
n2,7way,n2_e_mean_db_std,0.07912672,0.0383745460113647,
n2,7way,n2_e_std_db_mean,0.08579846,0.3050693146647115,
n2,7way,n2_e_std_db_std,0.08115862,0.059328983958820754,
n2,7way,n2_r_gold_mean,0.088746116,0.0473659027625604,
n2,7way,n2_r_gold_std,0.081378594,0.059896313426209546,
n2,7way,n2_s_top_db30_mean,0.07983623,0.27162054802542096,
n2,7way,n2_s_top_db30_std,0.08187565,0.08337955693365347,
n2,complaint_binary,n2_f0_mean_mean,0.09221808,,0.24976929553319416
n2,complaint_binary,n2_f0_mean_std,0.079142585,,-0.08691852217518745
n2,complaint_binary,n2_f0_std_mean,0.089131534,,0.024440435034756774
n2,complaint_binary,n2_f0_std_std,0.074467905,,0.011674260203774331
n2,complaint_binary,n2_e_mean_db_mean,0.07851062,,0.5070585101333936
n2,complaint_binary,n2_e_mean_db_std,0.09002784,,-0.026903381046452554
n2,complaint_binary,n2_e_std_db_mean,0.08576891,,0.1714695069462733
n2,complaint_binary,n2_e_std_db_std,0.08758727,,0.19226910676793996
n2,complaint_binary,n2_r_gold_mean,0.078379676,,0.005753203771901293
n2,complaint_binary,n2_r_gold_std,0.08239155,,-0.05324194517989243
n2,complaint_binary,n2_s_top_db30_mean,0.0871591,,0.4729820767103398
n2,complaint_binary,n2_s_top_db30_std,0.07521492,,-0.12345464621910737
pool5,7way,pool5_f0_mean_mean,0.079585895,0.08241063114658842,
pool5,7way,pool5_f0_mean_std,0.08008093,0.050156465433778094,
pool5,7way,pool5_f0_std_mean,0.08476941,0.10289717285724384,
pool5,7way,pool5_f0_std_std,0.08458067,0.02636595908306914,
pool5,7way,pool5_e_mean_db_mean,0.08086922,0.17518519081337525,
pool5,7way,pool5_e_mean_db_std,0.07913994,0.08674635108783656,
pool5,7way,pool5_e_std_db_mean,0.09087068,0.36346441846389027,
pool5,7way,pool5_e_std_db_std,0.078597255,0.07913419380458239,
pool5,7way,pool5_r_gold_mean,0.08655414,0.06177666375598591,
pool5,7way,pool5_r_gold_std,0.09274521,0.14654951941458266,
pool5,7way,pool5_s_top_db30_mean,0.07854979,0.3600565225811825,
pool5,7way,pool5_s_top_db30_std,0.08365694,0.04722475243420732,
pool5,complaint_binary,pool5_f0_mean_mean,0.09602124,,0.19830924052192964
pool5,complaint_binary,pool5_f0_mean_std,0.07865071,,-0.036966387422166146
pool5,complaint_binary,pool5_f0_std_mean,0.08219054,,0.1347331341991215
pool5,complaint_binary,pool5_f0_std_std,0.08876208,,-0.019721243453648837
pool5,complaint_binary,pool5_e_mean_db_mean,0.08578676,,0.5697643323160987
pool5,complaint_binary,pool5_e_mean_db_std,0.090392984,,-0.15725330984293182
pool5,complaint_binary,pool5_e_std_db_mean,0.07562617,,0.23656598917236288
pool5,complaint_binary,pool5_e_std_db_std,0.07339582,,0.17703329964804843
pool5,complaint_binary,pool5_r_gold_mean,0.081885435,,0.17391644641105164
pool5,complaint_binary,pool5_r_gold_std,0.07818852,,-0.12922538425199898
pool5,complaint_binary,pool5_s_top_db30_mean,0.07721717,,0.19232190409551064
pool5,complaint_binary,pool5_s_top_db30_std,0.091882534,,-0.001512485150924364
