scope,threshold,accuracy,macro_f1,complaint_recall,complaint_precision
n2,0.1,0.05746818486269257,0.015527163487639798,1.0,0.05746818486269257
n2,0.2,0.05746818486269257,0.015540944411237299,1.0,0.05752212389380531
n2,0.3,0.05706630944407234,0.015703042925336825,0.993006993006993,0.05818082491122644
n2,0.4,0.05117213663764233,0.01651177869029609,0.8904428904428905,0.06180229736288626
n2,0.5,0.03161419959812458,0.015884233552078075,0.5501165501165501,0.06184486373165619
n2,0.6,0.007903549899531145,0.009627151831606428,0.13752913752913754,0.04462934947049924
n2,0.7,0.0,0.0,0.0,0.0
n2,0.8,0.0,0.0,0.0,0.0
n2,0.9,0.0,0.0,0.0,0.0
pool5,0.1,0.05746818486269257,0.015538974210373804,1.0,0.05751441211958708
pool5,0.2,0.05746818486269257,0.01577495863210149,1.0,0.05843890478136494
pool5,0.3,0.055592766242464835,0.016511826844649573,0.9673659673659674,0.061463270142180094
pool5,0.4,0.048626925653047555,0.01806554358374599,0.8461538461538461,0.06833584337349398
pool5,0.5,0.03295378432685867,0.018265518265518265,0.5734265734265734,0.07195086282538754
pool5,0.6,0.015673141326188883,0.01621172232229458,0.2727272727272727,0.07164727495407226
pool5,0.7,0.004420629604822505,0.008329126703685007,0.07692307692307693,0.04694167852062589
pool5,0.8,0.00026791694574681847,0.0006335128286347799,0.004662004662004662,0.004228329809725159
pool5,0.9,0.0,0.0,0.0,0.0
