call_id,label
J16_S000039,환불요청
J16_S000292,배송확인
J16_S000898,환불요청
J16_S001137,배송확인
J16_S001149,배송확인
J16_S001152,환불요청
J16_S001614,환불요청
J16_S001631,환불요청
J16_S001773,환불요청
J16_S001921,배송확인
J16_S002191,환불요청
J16_S002290,환불요청
J16_S002302,배송확인
J16_S002380,환불요청
J16_S002541,환불요청
J16_S003794,환불요청
J16_S004099,환불요청
J16_S004235,환불요청
J16_S004397,환불요청
J16_S004650,환불요청
J16_S004939,환불요청
J16_S004992,환불요청
J16_S005052,배송확인
J16_S005245,배송확인
J16_S005291,환불요청
J16_S005747,배송확인
J16_S006095,환불요청
J16_S006596,환불요청
J16_S006948,배송확인
J17_S000703,환불요청
J17_S001035,환불요청
J17_S001111,환불요청
J17_S001308,환불요청
J17_S001359,환불요청
J17_S001389,배송확인
J17_S001405,환불요청
J17_S001458,환불요청
J17_S001470,배송확인
J17_S001540,환불요청
J17_S001675,환불요청
J17_S001813,배송확인
J17_S001895,배송확인
J17_S002165,배송확인
J17_S002329,환불요청
J17_S002369,배송확인
J17_S002486,환불요청
J17_S002524,환불요청
J17_S002900,환불요청
J17_S003054,배송확인
J17_S003240,환불요청
J17_S003445,배송확인
J17_S003447,배송확인
J17_S003621,환불요청
J17_S003652,환불요청
J17_S003729,배송확인
J17_S003754,배송확인
J17_S003775,배송확인
J17_S004007,배송확인
J17_S004089,배송확인
J17_S004128,배송확인
J17_S004393,배송확인
J17_S004550,배송확인
J17_S004553,환불요청
J17_S004595,환불요청
J17_S004847,배송확인
J17_S005176,환불요청
J17_S005512,환불요청
J17_S006097,배송확인
J18_S000015,배송확인
J18_S000016,환불요청
J18_S000029,배송확인
J18_S000034,배송확인
J18_S000038,배송확인
J18_S000045,환불요청
J18_S000051,환불요청
J18_S000072,배송확인
J18_S000081,환불요청
J18_S000082,배송확인
J18_S000093,배송확인
J18_S000109,환불요청
J18_S000116,배송확인
J18_S000128,환불요청
J18_S000132,배송확인
J18_S000173,환불요청
J18_S000185,환불요청
J18_S000189,배송확인
J18_S000195,배송확인
J18_S000205,환불요청
J18_S000240,배송확인
J18_S000241,배송확인
J18_S000244,배송확인
J18_S000257,환불요청
J18_S000265,환불요청
J18_S000269,배송확인
J18_S000292,환불요청
J18_S000307,환불요청
J18_S000338,배송확인
J18_S000356,환불요청
J18_S000367,배송확인
J18_S000433,배송확인
J18_S000464,배송확인
J18_S000468,배송확인
J18_S000486,환불요청
J18_S000487,배송확인
J18_S000491,환불요청
J18_S000495,배송확인
J18_S000501,배송확인
J18_S000511,배송확인
J18_S000517,배송확인
J18_S000523,환불요청
J18_S000529,환불요청
J18_S000532,환불요청
J18_S000547,배송확인
J18_S000553,배송확인
J18_S000554,환불요청
J18_S000555,배송확인
J18_S000561,배송확인
J18_S000575,환불요청
J18_S000577,환불요청
J18_S000579,배송확인
J18_S000598,배송확인
J18_S000609,배송확인
J18_S000620,배송확인
J18_S000640,환불요청
J18_S000646,배송확인
J18_S000654,환불요청
J18_S000680,환불요청
J18_S000714,배송확인
J18_S000722,환불요청
J18_S000728,배송확인
J18_S000735,배송확인
J18_S000737,배송확인
J18_S000745,환불요청
J18_S000762,환불요청
J18_S000770,배송확인
J18_S000815,배송확인
J18_S000822,환불요청
J18_S000827,환불요청
J18_S000836,배송확인
J18_S000845,환불요청
J18_S000864,배송확인
J18_S000868,배송확인
J18_S000887,환불요청
J18_S000888,배송확인
J18_S000915,배송확인
J18_S000941,배송확인
J18_S000947,환불요청
J18_S000948,환불요청
J18_S000956,환불요청
J18_S000957,환불요청
J18_S000958,환불요청
J18_S000961,배송확인
J18_S000978,환불요청
J18_S001007,배송확인
J18_S001029,환불요청
J18_S001031,환불요청
J18_S001046,배송확인
J18_S001047,배송확인
J18_S001049,배송확인
J18_S001053,배송확인
J18_S001054,환불요청
J18_S001055,환불요청
J18_S001056,환불요청
J18_S001057,배송확인
J18_S001062,배송확인
J18_S001077,환불요청
J18_S001092,배송확인
J18_S001100,환불요청
J18_S001121,배송확인
J18_S001129,배송확인
J18_S001146,배송확인
J18_S001164,환불요청
J18_S001172,환불요청
J18_S001208,환불요청
J18_S001217,환불요청
J18_S001222,배송확인
J18_S001225,배송확인
J18_S001226,환불요청
J18_S001228,배송확인
J18_S001230,배송확인
J18_S001239,배송확인
J18_S001256,환불요청
J18_S001281,환불요청
J18_S001288,환불요청
J18_S001291,배송확인
J18_S001294,환불요청
J18_S001331,배송확인
J18_S001333,배송확인
J18_S001337,배송확인
J18_S001339,배송확인
J18_S001344,배송확인
J18_S001371,배송확인
J18_S001382,배송확인
J18_S001387,배송확인
J18_S001400,배송확인
J18_S001406,배송확인
J18_S001412,배송확인
J18_S001415,환불요청
J18_S001429,환불요청
J18_S001436,배송확인
J18_S001438,배송확인
J18_S001450,환불요청
J18_S001456,환불요청
J18_S001509,배송확인
J18_S001523,배송확인
J18_S001525,배송확인
J18_S001529,배송확인
J18_S001555,배송확인
J18_S001557,환불요청
J18_S001567,환불요청
J18_S001571,배송확인
J18_S001575,배송확인
J18_S001578,배송확인
J18_S001586,배송확인
J18_S001591,배송확인
J18_S001605,배송확인
J18_S001636,배송확인
J18_S001646,배송확인
J18_S001650,환불요청
J18_S001659,환불요청
J18_S001667,배송확인
J18_S001680,환불요청
J18_S001699,환불요청
J18_S001700,환불요청
J18_S001703,배송확인
J18_S001712,배송확인
J18_S001713,배송확인
J18_S001728,배송확인
J18_S001740,환불요청
J18_S001745,배송확인
J18_S001747,배송확인
J18_S001758,배송확인
J18_S001765,배송확인
J18_S001774,환불요청
J18_S001780,배송확인
J18_S001802,배송확인
J18_S001809,배송확인
J18_S001832,배송확인
J18_S001838,배송확인
J18_S001841,배송확인
J18_S001844,배송확인
J18_S001892,배송확인
J18_S001894,배송확인
J18_S001908,배송확인
J18_S001917,환불요청
J18_S001927,배송확인
J18_S001936,배송확인
J18_S001942,배송확인
J18_S001943,환불요청
J18_S001955,환불요청
J18_S001956,배송확인
J18_S001959,배송확인
J18_S001968,배송확인
J18_S001975,배송확인
J18_S001978,배송확인
J18_S001985,환불요청
J18_S001995,환불요청
J18_S001997,배송확인
J18_S002011,환불요청
J18_S002019,환불요청
J18_S002030,배송확인
J18_S002035,배송확인
J18_S002038,환불요청
J18_S002044,배송확인
J18_S002045,환불요청
J18_S002064,환불요청
J18_S002071,배송확인
J18_S002080,배송확인
J18_S002086,배송확인
J18_S002093,배송확인
J18_S002104,환불요청
J18_S002107,환불요청
J18_S002111,배송확인
J18_S002115,배송확인
J18_S002120,환불요청
J18_S002123,배송확인
J18_S002137,배송확인
J18_S002146,배송확인
J18_S002162,환불요청
J18_S002169,환불요청
J18_S002177,환불요청
J18_S002196,환불요청
J18_S002197,배송확인
J18_S002201,환불요청
J18_S002208,환불요청
J18_S002213,배송확인
J18_S002262,환불요청
J18_S002267,환불요청
J18_S002273,환불요청
J18_S002274,환불요청
J18_S002290,배송확인
J18_S002291,환불요청
J18_S002293,환불요청
J18_S002296,환불요청
J18_S002321,배송확인
J18_S002327,배송확인
J18_S002328,환불요청
J18_S002334,배송확인
J18_S002371,환불요청
J18_S002372,배송확인
J18_S002386,배송확인
J18_S002397,배송확인
J18_S002401,배송확인
J18_S002436,배송확인
J18_S002445,환불요청
J18_S002447,환불요청
J18_S002462,배송확인
J18_S002473,배송확인
J18_S002508,배송확인
J18_S002514,배송확인
J18_S002528,배송확인
J18_S002530,배송확인
J18_S002541,배송확인
J18_S002544,환불요청
J18_S002545,배송확인
J18_S002549,배송확인
J18_S002552,배송확인
J18_S002556,환불요청
J18_S002573,배송확인
J18_S002583,환불요청
J18_S002585,환불요청
J18_S002589,배송확인
J18_S002591,환불요청
J18_S002613,배송확인
J18_S002615,배송확인
J18_S002629,배송확인
J18_S002699,환불요청
J18_S002723,환불요청
J18_S002729,환불요청
