call_id,pred_41mini_cur,gold_actual
J16_S000434,서비스이용,서비스이용
J16_S000633,서비스이용,서비스이용
J16_S000687,서비스이용,서비스이용
J16_S000727,서비스이용,서비스이용
J16_S000746,서비스이용,서비스이용
J16_S000781,서비스이용,서비스이용
J16_S000830,서비스이용,서비스이용
J16_S000995,서비스이용,서비스이용
J16_S001352,서비스이용,서비스이용
J16_S001508,서비스이용,서비스이용
J16_S002418,서비스이용,서비스이용
J16_S002519,서비스이용,서비스이용
J16_S002687,서비스이용,서비스이용
J16_S002723,서비스이용,서비스이용
J16_S002886,서비스이용,서비스이용
J16_S003028,서비스이용,서비스이용
J16_S003138,서비스이용,서비스이용
J16_S003503,서비스이용,서비스이용
J16_S004073,서비스이용,서비스이용
J16_S004504,서비스이용,서비스이용
J16_S005767,서비스이용,서비스이용
J16_S005954,서비스이용,서비스이용
J16_S006212,서비스이용,서비스이용
J16_S006468,서비스이용,서비스이용
J16_S006852,서비스이용,서비스이용
J16_S006947,서비스이용,서비스이용
J17_S000720,서비스이용,서비스이용
J17_S001328,서비스이용,서비스이용
J17_S001701,서비스이용,서비스이용
J17_S001923,불만제기,서비스이용
J17_S001995,서비스이용,서비스이용
J17_S002888,서비스이용,서비스이용
J17_S003029,환불요청,불만제기
J17_S003896,서비스이용,서비스이용
J17_S004156,서비스이용,서비스이용
J17_S004444,서비스이용,서비스이용
J17_S004583,환불요청,구매진행
J17_S005546,서비스이용,서비스이용
J17_S006090,서비스이용,서비스이용
J17_S006285,서비스이용,서비스이용
J18_S000299,교환반품,교환반품
J18_S000543,교환반품,환불요청
J18_S000753,배송확인,배송확인
J18_S000789,교환반품,교환반품
J18_S000821,환불요청,환불요청
J18_S000867,교환반품,교환반품
J18_S001558,배송확인,불만제기
J18_S001710,배송확인,불만제기
J18_S001966,배송확인,배송확인
J18_S001989,교환반품,환불요청
J18_S002099,배송확인,불만제기
J18_S002793,배송확인,배송확인
J18_S002879,환불요청,교환반품
J18_S002961,배송확인,배송확인
J18_S003783,배송확인,불만제기
J18_S003787,서비스이용,서비스이용
J18_S003998,배송확인,배송확인
J18_S004761,환불요청,불만제기
J18_S004771,배송확인,배송확인
J18_S004872,배송확인,불만제기
J18_S004933,환불요청,배송확인
J18_S005053,배송확인,불만제기
J18_S005269,배송확인,불만제기
J18_S005280,주문취소,불만제기
J18_S005403,배송확인,불만제기
J18_S005502,배송확인,불만제기
J18_S005530,배송확인,불만제기
J18_S005544,배송확인,교환반품
J18_S005845,서비스이용,불만제기
J18_S005876,환불요청,환불요청
J18_S006274,배송확인,배송확인
J18_S006759,구매진행,구매진행
J18_S006938,환불요청,교환반품
J18_S007285,서비스이용,서비스이용
J18_S007403,배송확인,배송확인
J18_S007412,배송확인,배송확인
